"","area","heat"
"354","059580024024","312.96772387588"
"355","059580024024","312.96772387588"
"356","059580024024","312.96772387588"
"357","059580024024","312.96772387588"
"358","059580024024","312.96772387588"
"359","059580024024","312.96772387588"
"360","059580024024","312.96772387588"
"361","059580024024","312.96772387588"
"362","059580028028","317.025242718655"
"363","059580032032","318.625359068979"
"364","059580036036","313.093094207082"
"365","059580040040","314.637801577425"
"366","059580044044","311.333500948666"
"367","059580048048","314.815429330504"
"368","059620004004","314.594508090679"
"369","059620008008","310.964437165295"
"370","059620012012","320.240236144472"
"371","059620016016","315.099729993564"
"372","059620020020","311.466142392796"
"373","059620024024","316.646773683886"
"374","059620028028","327.247525246591"
"375","059620032032","316.494050682069"
"376","059620036036","330.201434843645"
"377","059620040040","311.388309361053"
"378","059620044044","318.041103896726"
"379","059620048048","311.835263655954"
"380","059620052052","316.840006307328"
"381","059620056056","313.035131888548"
"382","059620060060","319.779436084685"
"383","059660004004","313.728325995639"
"384","059660008008","312.118142292729"
"385","059660012012","313.60556297748"
"386","059660016016","309.408404778704"
"387","059660020020","315.920646013231"
"388","059660024024","312.878283572037"
"389","059660028028","310.553396252784"
"390","059700004004","314.410429375915"
"391","059700008008","317.555539671289"
"392","059700012012","312.672440313185"
"393","059700016016","312.011883720197"
"394","059700020020","310.932771896974"
"395","059700024024","315.632372495097"
"396","059700028028","314.848209819632"
"397","059700032032","309.418424304478"
"398","059700036036","313.964479929087"
"399","059700040040","318.857897984218"
"400","059700044044","307.393577884916"
"401","059740004004","305.199854815935"
"402","059740008008","316.818218187434"
"403","059740012012","306.747564796244"
"404","059740016016","309.130541564918"
"405","059740020020","312.567795760236"
"406","059740024024","303.93960389122"
"407","059740028028","313.581767815307"
"408","059740032032","308.951030088885"
"409","059740036036","310.9182337169"
"410","059740040040","314.907690578663"
"411","059740044044","308.940557210849"
"412","059740048048","309.834754134417"
"413","059740052052","313.322269796206"
"414","059740056056","312.494109085598"
"415","059780004004","313.824652939687"
"416","059780008008","319.261922717925"
"417","059780012012","310.010133213979"
"418","059780016016","312.738704194384"
"419","059780020020","313.767285330908"
"420","059780024024","316.053344890637"
"421","059780028028","312.469604105177"
"422","059780032032","315.581937400508"
"423","059780036036","315.397948660303"
"424","059780040040","310.477487989537"
