"","area","heat"
"135","010535308009","307.802633980135"
"136","010535308011","314.899804159705"
"137","010535308024","331.763780062627"
"138","010535308034","302.82587121174"
"139","010535308061","318.067596405347"
"140","010535308067","328.404232713127"
"141","010535308075","304.895481872591"
"142","010535308094","329.608007360129"
"143","010535308103","317.985011313467"
"144","010535308120","317.357066129186"
"145","010535313002","318.36021980763"
"146","010535313005","364.513429300265"
"147","010535313013","325.845308453236"
"148","010535313014","313.907857694291"
"149","010535313037","316.439968073361"
"151","010535313084","325.687274404296"
"152","010535313095","313.03546353453"
"153","010535313113","308.296214338898"
"155","010535313134","324.710211161521"
"157","010535318015","297.908863661648"
"158","010535318020","318.116827912393"
"159","010535318029","313.743827429533"
"161","010535318046","314.202110159971"
"162","010535318048","303.839625619707"
"163","010535318064","309.635919565696"
"164","010535318080","294.00673357011"
"165","010535318092","318.235640570435"
"166","010535318104","306.482496875043"
"167","010535318115","307.457047932745"
"168","010535318119","323.574776119045"
"169","010535318126","301.383325604462"
"170","010535318132","321.662860583072"
"171","010535323003","306.570474704077"
"172","010535323012","311.963351231469"
"173","010535323023","314.047477822871"
"174","010535323028","308.309307951817"
"175","010535323050","310.194117473642"
"176","010535323053","317.27818841227"
"177","010535323072","309.145274481379"
"178","010535323131","309.827223400173"
"179","010535323133","304.202208416775"
"180","010535323135","324.884135998607"
"181","010535343006","326.394937370999"
"183","010535343022","293.767921790753"
"185","010535343073","359.900945202024"
"188","010535343087","317.242634346794"
"189","010535343111","318.734860775289"
"190","010535343128","359.593616227503"
"192","010535358004","311.939924166687"
"194","010535358018","300.156673798977"
"195","010535358026","299.237531175983"
"199","010535358041","309.283375083263"
"200","010535358043","305.255532244869"
"201","010535358051","306.819790639125"
"202","010535358054","306.233866132602"
"203","010535358057","303.490510514227"
"204","010535358062","305.193000971105"
"205","010535358066","294.321979768729"
"206","010535358078","306.476146605073"
"207","010535358078","306.476146605073"
"208","010535358078","306.476146605073"
"209","010535358078","306.476146605073"
"210","010535358078","306.476146605073"
"211","010535358078","306.476146605073"
"212","010535358078","306.476146605073"
"213","010535358078","306.476146605073"
"214","010535358088","321.501776747067"
"215","010535358093","321.190563053646"
"216","010535358098","306.92644219613"
"218","010535358107","301.25744376605"
"219","010535358110","312.505910902953"
"220","010535358117","311.638922477114"
"221","010535358123","315.34750364108"
"222","010535358136","306.977777498715"
"223","010535373007","322.901979022552"
"224","010535373017","310.624802584803"
